"","Sample","Date.x","Filter_type","Filter_size","Filter_box_nr","Filter_blank","Volume","Date.y","Day","Treatment","C","N","O","Na","Mg","Al","Si","P","S","Cl","K","Ca","Mn","Fe","Cu","As"
"15","COM015","09.12.2019 12:39:47","GFF",NA,1,NA,1000,2019-10-05,0,"NPC3",405.929571710981,5.03091612944458,-17.8325064319733,-6.45135101931804,-0.233548370660636,-27.9617748089535,-28.999227545268,-0.00384779753372609,0.0105211037232701,-0.0227948651033594,-6.34823668408022,-4.41442087930263,-0.11072134288484,-0.301792157159115,-0.107175749060378,-0.0929425617170671
"16","COM016","09.12.2019 12:52:00","GFF",NA,1,NA,1000,2019-10-05,0,"uZ1",395.211966288234,4.87705341845937,-17.8400351436308,-6.17830261754631,-0.193030172756579,-26.90679132097,-28.9515259518676,-4.81835111557833e-05,0.020450129139846,0.374377720686806,-6.3371598162484,-4.35345116362955,-0.111468198486087,-0.30288491033278,-0.108295565332667,-0.0935922611461865
"17","COM017","09.12.2019 13:04:14","GFF",NA,1,NA,1000,2019-10-05,0,"uZ2",406.425290257471,4.92676290970074,-17.9160751313717,-6.46367709207932,-0.231777283556532,-25.2453837677273,-29.0267039001142,-0.00552045370670541,0.00850389962595137,-0.0406602832199614,-6.34945957784341,-4.41018025563223,-0.111995868204359,-0.310075144969907,-0.108029811833265,-0.093852636871597
"18","COM018","09.12.2019 13:16:28","GFF",NA,1,NA,1000,2019-10-05,0,"uZ3",404.976485336498,4.97173816368104,-17.8160938405599,-6.45365434628985,-0.180745546170701,-28.0669197294477,-28.9826596123042,-0.00514875233493223,0.0103495044606927,-0.0108692775173842,-6.35037084616888,-4.36389063968556,-0.111135360663792,-0.312049412785524,-0.107530763277136,-0.092873128190291
"19","COM019","09.12.2019 13:28:41","PC",0.8,1,NA,1000,2019-10-07,1,"K1",-12.0269847804555,0.0504985307848884,0.277458120284692,-0.036385027272152,0.0425946448536958,2.99287505835203,0.164556175606304,0.0161241155536482,0.00966006487026676,-0.140968916158563,0.0115427321225607,0.302200118132349,0.00114734338742265,0.0378455495052815,-0.000261019976511931,0.00063399422663433
"20","COM020","09.12.2019 13:40:54","PC",0.8,1,NA,1000,2019-10-07,1,"K2",-7.13794814944975,0.223950006089508,0.16136538652592,-0.0362778957850911,0.025222723241202,3.59252508111432,0.0483986261787611,0.011994100311724,0.00690534904867951,-0.120860752751402,0.00193900272361532,0.0740929353624062,0.000408605781841554,0.0277914078516726,-0.000382739136543403,-0.000618289024149252
"21","COM021","09.12.2019 13:53:28","PC",0.8,1,NA,1000,2019-10-07,1,"K3",-8.14023465766983,-0.0307382361299328,0.202622726409064,-0.067268654292086,0.0554808303352784,3.79096034773323,0.0785756302919112,0.00850368920018621,0.0035482102840016,-0.172497475379765,0.000640563399765775,0.0960436207577273,6.76499638810536e-05,0.00568854533155704,0.000775621536422764,-0.00049182081466418
"22","COM022","09.12.2019 14:04:22","PC",0.8,1,NA,1000,2019-10-07,1,"NPC1",-264.90237485437,-4.26602805717563,17.0565472171395,6.30368018398678,0.515590938390706,28.6346139430402,28.3113704837751,0.0268511905404161,0.0566618330998274,1.56380071823529,6.25108666693688,4.481549753536,0.112014810194246,0.335838121279882,0.10821915274887,0.0954281166577313
"23","COM023","09.12.2019 14:15:16","PC",0.8,1,NA,1000,2019-10-07,1,"NPC2",-265.095941719594,-4.34726482409045,17.173392822064,6.30780474623863,0.508161533348837,28.8940892230272,28.482298724214,0.0267232697143388,0.0458693347981548,1.50386660347394,6.25682340794952,4.41708036559827,0.110488627009089,0.328302592888995,0.108856149686368,0.0953884403567164
"24","COM024","09.12.2019 14:26:07","PC",0.8,1,NA,1000,2019-10-07,1,"NPC3",-264.867016035898,-4.24846335081567,17.2399466331164,6.2609347206495,0.468983865166679,28.9391513318104,28.5640801408876,0.0292268630247088,0.0431839888912265,0.875415693607881,6.32764737106859,4.48655117552481,0.110918880779373,0.347196254638868,0.107825594131435,0.0934418218381716
