"","Sample","O","Mg","Si","P","S","K","Ca","Mn","Fe","N","Na","Cl","C"
"44","COM044",NA,NA,0.0284019692239958,0.00464169854623345,0.00272429042042106,NA,0.0142787510482925,0.000533081715382688,0.00399186661209953,NA,NA,NA,NA
"45","COM045",0.0333270969372355,NA,0.00999268448727401,0.0243780545695883,0.00476887737878933,NA,NA,0.011524847846776,0.0130994971524596,0.567925505638753,NA,NA,7.47793678860176
"46","COM046",NA,NA,NA,NA,0.013575814000356,NA,NA,NA,NA,4.95516833326724,NA,NA,403.883253126522
"47","COM047",NA,NA,NA,NA,0.0153410957760186,NA,NA,NA,NA,5.09956256973028,NA,NA,403.392505969467
"48","COM048",NA,NA,NA,0.0520726088419282,0.0887618483462092,NA,NA,NA,NA,5.4925042624002,NA,3.10319659152837,377.372963866678
"49","COM049",NA,NA,NA,0.0480664940572617,0.0176558602967427,NA,NA,NA,NA,5.18714595906033,NA,NA,403.694340328003
"50","COM050",NA,NA,NA,0.0334875402532691,0.00924749643045316,NA,NA,NA,NA,5.01671341766133,NA,NA,405.533754418846
"51","COM051",NA,NA,NA,0.157780348958979,0.016987718487133,NA,NA,NA,NA,5.963560869878,NA,NA,417.343645120248
"52","COM052",NA,NA,NA,0.0593620857439245,0.0201933387540033,NA,NA,NA,NA,5.28183070428199,NA,NA,396.678289438644
"53","COM053",NA,NA,NA,0.16917919102669,0.0271923980382747,NA,NA,NA,NA,6.38727510474496,NA,NA,420.659561873201
"54","COM054",NA,NA,NA,0.155859891871485,0.0170844712628415,NA,NA,NA,NA,5.92331985315879,NA,NA,407.085538120967
