Sample	Date	C (%)	N (%)	O (%)	Na (PPM)	Mg (PPM)	Al (PPM)	Si (PPM)	P	S	Cl (PPM)	K (PPM)	Ca (PPM)	Mn (PPM)	Fe (PPM)	Cu (PPM)	As (PPM)	C (Int)	N (Int)	O (Int)	Na (Int)	Mg (Int)	Al (Int)	Si (Int)	P (Int)	S (Int)	Cl (Int)	K (Int)	Ca (Int)	Mn (Int)	Fe (Int)	Cu (Int)	As (Int)	
2AENp4_097	08.01.2020 12:01:12	43005221,88	11,54	1,38	194	202	8	4	953 PPM	535 PPM	233	3	4	10	3	0	0	56,2827	0,4134	3,0472	5,6624	2,8816	33,3319	6,3692	0,2849	1,5747	9,7033	0,8179	0,6812	0,3677	1,5058	0,9151	1,1326	
2AENp4_098	08.01.2020 12:13:31	43494050,00	11,93	1,37	153	174	7	4	956 PPM	452 PPM	193	2	4	10	3	0	0	56,8771	0,4274	3,0226	4,4719	2,4869	31,9557	6,4961	0,2856	1,3293	8,0479	0,7779	0,6655	0,3719	1,6365	0,8448	1,0781	
2AENp4_099	08.01.2020 12:25:50	43932493,75	11,95	1,38	100	147	8	4	888 PPM	374 PPM	135	2	4	10	3	0	0	57,4102	0,4280	3,0355	2,9325	2,0931	33,0903	6,2978	0,2655	1,0999	5,6310	0,6938	0,6076	0,3618	1,4917	0,9030	1,1350	
2AENp4_100	08.01.2020 12:38:05	40975987,50	11,67	1,61	80	284	9	12	0,12 %	298 PPM	79	6	6	34	9	0	0	53,8152	0,4181	3,5537	2,3306	4,0528	37,0333	19,1054	0,3540	0,8759	3,2718	2,0291	1,0889	1,2240	4,5679	0,9161	1,1229	
2AENp4_101	08.01.2020 12:50:20	40172218,75	11,75	1,65	126	338	9	13	0,13 %	361 PPM	123	7	7	37	10	0	0	52,8379	0,4208	3,6450	3,6766	4,8305	40,9836	21,2812	0,3951	1,0603	5,1162	2,3241	1,2274	1,3335	5,0429	0,9182	1,1741	
2AENp4_102	08.01.2020 13:02:35	40713240,63	11,53	1,62	100	298	9	12	0,12 %	336 PPM	102	6	6	34	9	0	0	53,4957	0,4130	3,5774	2,9395	4,2537	40,2592	19,4382	0,3675	0,9869	4,2300	2,0849	1,1095	1,2263	4,6436	0,8882	1,1079	
2AENp4_94UZ	10.01.2020 12:26:40	44550653,13	12,07	1,31	117	138	8	3	0,12 %	441 PPM	152	2	3	7	2	0	0	58,1618	0,4323	2,8883	3,4311	1,9699	32,6352	4,1951	0,3536	1,2974	6,3322	0,6345	0,5350	0,2599	1,0149	0,8945	1,0944	
2AENp5_1	08.01.2020 21:10:07	46934281,25	12,03	1,26	4	22	8	0	332 PPM	88 PPM	13	0	1	5	1	0	0	61,0602	0,4308	2,7754	0,1296	0,3116	33,9397	0,3438	0,0993	0,2588	0,5345	0,1137	0,1244	0,1948	0,6040	0,8129	1,0612	
2AENp5_103	08.01.2020 13:33:49	47893103,13	12,40	1,26	5	23	8	0	355 PPM	101 PPM	15	0	1	5	1	0	0	62,2261	0,4444	2,7810	0,1586	0,3234	32,6246	0,2564	0,1059	0,2978	0,6129	0,1195	0,1266	0,1956	0,5028	0,9490	1,1180	
2AENp5_104	08.01.2020 13:55:59	46154703,13	12,21	1,26	5	23	8	0	339 PPM	92 PPM	13	0	1	5	1	0	0	60,1123	0,4374	2,7752	0,1416	0,3352	35,2224	0,4986	0,1013	0,2702	0,5336	0,1132	0,1496	0,1847	0,6059	0,8019	1,0690	
2AENp5_105	08.01.2020 14:18:55	46569112,50	12,06	1,26	6	24	8	0	351 PPM	130 PPM	18	0	1	5	1	0	0	60,6162	0,4321	2,7770	0,1876	0,3375	32,5411	0,2711	0,1048	0,3827	0,7314	0,1475	0,2296	0,1984	0,5296	1,0144	1,1484	
2AENp5_106	08.01.2020 14:41:15	37574800,00	13,16	1,48	383	308	7	7	0,49 %	0,13 %	335	3	4	6	1	0	0	49,6795	0,4715	3,2508	11,2132	4,4016	30,8390	10,7291	1,4637	3,8161	13,9372	0,8362	0,7741	0,2115	0,7047	0,9038	1,1616	
2AENp5_107	08.01.2020 15:03:33	37848687,50	13,64	1,52	313	278	7	7	0,54 %	0,12 %	264	2	4	6	1	0	0	50,0126	0,4885	3,3434	9,1436	3,9691	29,3388	12,0473	1,6140	3,6722	10,9808	0,7412	0,7417	0,2127	0,6978	0,9043	1,1391	
2AENp5_108	08.01.2020 15:25:54	37259871,88	13,55	1,50	393	329	7	7	0,52 %	0,14 %	329	3	5	6	1	0	0	49,2966	0,4855	3,2950	11,4981	4,6957	30,0686	11,5706	1,5618	4,1172	13,7006	0,8205	0,7975	0,2173	0,6888	0,9563	1,1260	
2AENp5_109	08.01.2020 15:48:35	38887634,38	13,17	1,45	370	332	7	7	0,52 %	0,14 %	358	4	5	6	2	0	0	51,2759	0,4719	3,2021	10,8266	4,7362	30,2542	10,5234	1,5632	4,1201	14,9038	1,3101	0,8259	0,2284	0,8857	0,9221	1,1230	
2AENp5_110	08.01.2020 16:10:54	38856100,00	13,45	1,47	312	285	7	7	0,60 %	0,13 %	274	5	4	6	2	0	0	51,2375	0,4819	3,2406	9,1190	4,0687	32,1963	11,2312	1,7830	3,9506	11,4184	1,6299	0,7553	0,2265	0,8922	0,8998	1,1109	
2AENp5_110UZ	09.01.2020 10:07:42	39654784,38	13,51	1,46	314	289	7	7	0,59 %	0,13 %	272	5	4	6	2	0	0	52,2087	0,4840	3,2112	9,2003	4,1263	31,6313	11,3129	1,7489	3,9067	11,3232	1,5356	0,7343	0,2209	0,9036	0,9229	1,1415	
2AENp5_111	08.01.2020 16:33:35	39103709,38	13,18	1,46	329	296	7	7	0,51 %	0,13 %	303	3	4	6	2	0	0	51,5386	0,4722	3,2111	9,6189	4,2251	31,1846	10,7337	1,5312	3,7879	12,5942	1,0507	0,7519	0,2263	0,9973	0,9167	1,1046	
2AENp5_112	08.01.2020 16:55:55	42372812,50	11,85	1,37	223	226	7	4	0,15 %	728 PPM	315	3	4	7	2	0	0	55,5137	0,4245	3,0088	6,5235	3,2203	32,1034	6,2377	0,4610	2,1415	13,0934	0,8839	0,6553	0,2463	0,9997	0,9588	1,1396	
2AENp5_113	08.01.2020 17:18:09	42113659,38	12,13	1,37	230	237	7	4	0,17 %	793 PPM	291	3	4	7	2	0	0	55,1986	0,4346	3,0165	6,7188	3,3860	28,9603	6,9876	0,4944	2,3334	12,1130	0,8759	0,6839	0,2570	1,1625	0,9172	1,1702	
2AENp5_114	08.01.2020 17:40:27	42642918,75	12,03	1,36	186	206	7	4	0,15 %	624 PPM	243	2	4	7	2	0	0	55,8421	0,4309	2,9899	5,4519	2,9461	32,1391	6,0460	0,4409	1,8362	10,0978	0,7081	0,6073	0,2440	1,0193	0,9129	1,1451	
2AENp5_115	08.01.2020 17:52:45	42226818,75	11,86	1,43	157	191	8	7	0,12 %	557 PPM	224	3	4	8	3	0	0	55,3362	0,4249	3,1470	4,5921	2,7297	35,1426	11,8094	0,3722	1,6374	9,2994	0,9544	0,7096	0,3009	1,3467	0,9033	1,1235	
2AENp5_116	08.01.2020 18:05:04	42322640,63	11,78	1,44	148	193	8	8	0,13 %	557 PPM	220	3	4	9	3	0	0	55,4527	0,4220	3,1809	4,3416	2,7551	32,6939	12,9060	0,3789	1,6387	9,1670	1,0428	0,7444	0,3126	1,4361	0,9068	1,1286	
2AENp5_117	08.01.2020 18:17:24	42476440,63	11,86	1,44	148	186	7	7	0,12 %	563 PPM	206	3	4	8	3	0	0	55,6397	0,4249	3,1764	4,3349	2,6525	31,3912	11,7765	0,3529	1,6544	8,5871	0,8790	0,7221	0,3076	1,3461	0,8887	1,0934	
2AENp5_118	08.01.2020 18:29:45	42551456,25	11,64	1,40	213	214	8	5	0,10 %	581 PPM	267	3	4	9	3	0	0	55,7309	0,4170	3,0748	6,2313	3,0536	32,8993	8,6023	0,3006	1,7075	11,0977	0,9062	0,7189	0,3179	1,4156	0,8933	1,1080	
2AENp5_119	08.01.2020 18:42:05	44639512,50	11,63	1,25	225	150	8	3	852 PPM	554 PPM	277	3	4	9	3	0	0	58,2699	0,4167	2,7548	6,5949	2,1450	34,1143	4,0400	0,2545	1,6291	11,5424	0,9126	0,7109	0,3164	1,4951	0,8847	1,1219	
2AENp5_120	08.01.2020 18:54:24	44037675,00	11,96	1,41	57	126	8	5	960 PPM	276 PPM	63	2	3	9	3	0	0	57,5381	0,4283	3,0984	1,6647	1,7926	34,1241	8,4274	0,2868	0,8131	2,6088	0,6741	0,5738	0,3107	1,4147	0,8976	1,1374	
2AENp5_121	08.01.2020 19:06:42	42897478,13	11,83	1,38	211	222	7	5	928 PPM	600 PPM	295	3	5	9	3	0	0	56,1517	0,4237	3,0468	6,1641	3,1624	32,1191	7,3106	0,2772	1,7642	12,2603	0,9294	0,8877	0,3348	1,6048	0,8452	1,0783	
2AENp5_122	08.01.2020 19:19:00	44093037,50	12,03	1,40	51	131	8	5	880 PPM	329 PPM	58	2	4	10	3	0	0	57,6054	0,4311	3,0857	1,4902	1,8667	34,3612	8,4184	0,2630	0,9676	2,4321	0,7219	0,7150	0,3465	1,7304	0,9518	1,1319	
2AENp5_123	08.01.2020 19:31:18	44054040,63	11,96	1,39	73	137	8	5	893 PPM	322 PPM	93	2	4	9	3	0	0	57,5580	0,4286	3,0595	2,1387	1,9526	33,1004	7,5599	0,2669	0,9469	3,8655	0,7601	0,6521	0,3287	1,5229	0,8913	1,1001	
2AENp5_123UZ	09.01.2020 10:20:03	44432253,13	11,85	1,37	73	136	8	5	819 PPM	313 PPM	91	2	4	9	3	0	0	58,0179	0,4244	3,0166	2,1232	1,9452	32,8660	7,6092	0,2446	0,9192	3,8044	0,7039	0,6557	0,3320	1,5146	0,8951	1,1005	
2AENp5_124	08.01.2020 19:43:32	40045831,25	11,34	1,57	250	368	9	12	0,11 %	597 PPM	284	7	7	18	8	0	0	52,6842	0,4063	3,4674	7,3075	5,2488	38,4561	19,3270	0,3365	1,7557	11,8182	2,2396	1,1992	0,6725	4,3370	0,9250	1,1211	
2AENp5_125	08.01.2020 19:55:48	39742615,63	11,43	1,60	207	359	9	13	0,12 %	547 PPM	239	7	7	19	9	0	0	52,3155	0,4093	3,5218	6,0560	5,1201	39,5430	20,7063	0,3585	1,6083	9,9242	2,3406	1,1717	0,6878	4,5894	0,9060	1,0934	
2AENp5_126	08.01.2020 20:08:07	40430862,50	11,46	1,59	152	315	9	12	0,11 %	450 PPM	166	7	7	19	8	0	0	53,1524	0,4106	3,4946	4,4516	4,4899	39,6213	19,4608	0,3395	1,3234	6,9134	2,1240	1,1536	0,6772	4,4050	0,9078	1,1381	
2AENp5_127	08.01.2020 20:20:24	42360096,88	11,51	1,57	30	237	9	12	985 PPM	199 PPM	22	6	5	17	8	0	0	55,4982	0,4124	3,4556	0,8860	3,3887	39,7160	18,7939	0,2942	0,5853	0,9029	1,8088	0,8742	0,6331	4,1297	0,9081	1,1514	
2AENp5_128	08.01.2020 20:32:40	40963637,50	11,51	1,58	159	321	8	13	0,11 %	485 PPM	228	7	7	19	9	0	0	53,8002	0,4122	3,4723	4,6590	4,5836	35,5871	20,4594	0,3265	1,4270	9,4667	2,2312	1,1282	0,6764	4,4592	0,9356	1,1261	
2AENp5_129	08.01.2020 20:45:35	41439887,50	11,56	1,57	116	285	9	12	0,10 %	377 PPM	151	6	6	18	8	0	0	54,3793	0,4141	3,4565	3,3968	4,0640	39,4949	19,3190	0,3073	1,1092	6,2731	2,0319	0,9904	0,6526	4,2302	0,9235	1,1512	
2AENp5_130	08.01.2020 20:57:52	46969050,00	12,14	1,26	6	22	7	0	351 PPM	88 PPM	16	0	1	5	1	0	0	61,1025	0,4350	2,7740	0,1737	0,3159	31,0992	0,4709	0,1048	0,2591	0,6702	0,1537	0,1436	0,1903	0,4991	0,9239	1,0990	
2AENp6_132	08.01.2020 21:22:24	46713812,50	12,02	1,25	6	24	7	0	338 PPM	94 PPM	29	0	2	6	1	0	0	60,7921	0,4307	2,7605	0,1807	0,3421	31,4588	0,4235	0,1010	0,2777	1,1996	0,1513	0,3816	0,2017	0,5343	0,9249	1,1294	
2AENp6_133	08.01.2020 21:34:42	44209053,13	11,83	1,38	65	127	8	5	592 PPM	274 PPM	136	2	8	7	3	0	0	57,7465	0,4239	3,0382	1,8922	1,8062	34,2711	7,5977	0,1770	0,8056	5,6448	0,7673	1,3659	0,2395	1,5252	0,9259	1,1210	
2AENp6_134	08.01.2020 21:47:03	44131756,25	11,75	1,37	112	157	8	5	593 PPM	426 PPM	222	3	6	6	3	0	0	57,6525	0,4209	3,0270	3,2847	2,2478	33,8009	7,7285	0,1770	1,2534	9,2375	0,8722	1,0063	0,2341	1,5450	0,8736	1,0993	
2AENp6_135	08.01.2020 21:59:23	44068962,50	11,82	1,38	104	150	8	5	612 PPM	365 PPM	179	3	5	7	3	0	0	57,5761	0,4235	3,0392	3,0410	2,1345	34,2728	8,2116	0,1827	1,0744	7,4543	0,8922	0,8827	0,2397	1,5826	1,0243	1,1547	
2AENp6_136	09.01.2020 10:32:22	44976856,25	11,95	1,35	17	79	8	4	620 PPM	173 PPM	39	1	4	6	2	0	0	58,6801	0,4282	2,9655	0,4833	1,1231	34,4025	6,5297	0,1851	0,5101	1,6092	0,4719	0,6918	0,2363	1,2080	0,8165	1,0674	
2AENp6_137	09.01.2020 10:44:41	44691762,50	11,85	1,35	74	127	8	4	630 PPM	333 PPM	157	2	4	6	2	0	0	58,3334	0,4246	2,9710	2,1515	1,8079	33,5483	6,8626	0,1882	0,9789	6,5188	0,6592	0,6612	0,2337	1,1451	0,8835	1,1130	
2AENp6_138	09.01.2020 10:57:47	44765596,88	11,83	1,35	45	99	8	4	663 PPM	269 PPM	88	2	3	6	2	0	0	58,4232	0,4236	2,9655	1,3251	1,4139	34,1331	6,3685	0,1982	0,7909	3,6557	0,5557	0,5546	0,2314	1,0970	0,8768	1,1030	
2AENp6_139	09.01.2020 11:10:05	43354734,38	13,36	1,42	48	115	8	4	0,27 %	747 PPM	45	1	3	5	1	0	0	56,7077	0,4786	3,1278	1,4072	1,6368	33,8265	5,7626	0,8029	2,1955	1,8753	0,2752	0,4349	0,1916	0,5484	0,8819	1,1256	
2AENp6_140	09.01.2020 11:22:24	40623718,75	12,88	1,40	308	260	7	4	0,31 %	0,12 %	274	2	4	6	1	0	0	53,3869	0,4613	3,0833	9,0239	3,7055	30,4786	5,7474	0,9277	3,6003	11,4049	0,7601	0,6142	0,2029	0,5910	0,9064	1,0974	
2AENp6_141	09.01.2020 11:35:55	41400131,25	12,79	1,40	258	257	7	4	0,29 %	0,11 %	263	2	3	6	1	0	0	54,3310	0,4583	3,0757	7,5612	3,6718	30,5396	5,6951	0,8655	3,3284	10,9557	0,6942	0,5806	0,2065	0,5766	0,9286	1,1486	
2AENp6_142	09.01.2020 11:48:18	38409184,38	12,47	1,36	728	286	7	4	0,34 %	0,14 %	694	3	4	6	1	0	0	50,6941	0,4466	3,0046	21,3095	4,0877	29,3588	5,8685	1,0088	4,2374	28,8534	0,9644	0,7407	0,2068	0,7156	0,9894	1,1449	
2AENp6_143	09.01.2020 12:00:38	40856915,63	12,92	1,40	280	237	7	4	0,28 %	0,12 %	237	2	4	6	1	0	0	53,6704	0,4630	3,0873	8,1889	3,3785	30,9343	5,8652	0,8255	3,5482	9,8502	0,6225	0,6141	0,2022	0,7330	0,9550	1,1267	
2AENp6_144	09.01.2020 12:12:57	40065090,63	12,79	1,39	349	281	7	4	0,27 %	0,13 %	319	2	4	6	1	0	0	52,7076	0,4583	3,0598	10,2049	4,0125	30,6487	5,7644	0,8042	3,7469	13,2871	0,6836	0,6746	0,2004	0,7154	0,9162	1,1245	
2AENp6_145	09.01.2020 12:25:16	41282575,00	12,40	1,52	76	110	7	11	0,22 %	584 PPM	81	2	2	6	1	0	0	54,1880	0,4443	3,3398	2,2093	1,5710	29,5276	18,3742	0,6665	1,7176	3,3852	0,5602	0,3934	0,2094	0,5999	0,8964	1,0922	
2AENp6_146	09.01.2020 12:37:36	39447506,25	11,99	1,49	301	251	7	11	0,22 %	905 PPM	326	3	3	6	1	0	0	51,9567	0,4294	3,2865	8,8035	3,5801	30,7032	17,8732	0,6599	2,6612	13,5547	0,9149	0,5849	0,2057	0,5932	0,9684	1,1306	
2AENp6_147	09.01.2020 12:49:54	40821040,63	12,20	1,49	112	123	7	11	0,20 %	570 PPM	165	2	8	6	1	0	0	53,6268	0,4370	3,2936	3,2685	1,7575	30,6537	17,4601	0,5955	1,6764	6,8724	0,5576	1,4565	0,2101	0,5914	0,9114	1,1025	
2AENp6_148	09.01.2020 13:02:11	44603753,13	11,81	1,34	58	77	8	3	820 PPM	273 PPM	70	1	2	6	1	0	0	58,2264	0,4230	2,9594	1,7105	1,1008	32,7635	5,6133	0,2450	0,8018	2,9325	0,3361	0,4304	0,2236	0,6948	0,8667	1,1128	
2AENp6_149	09.01.2020 13:14:30	41670365,63	11,44	1,33	420	295	7	3	883 PPM	932 PPM	567	3	5	6	1	0	0	54,6595	0,4097	2,9350	12,2925	4,2106	31,0113	5,4634	0,2638	2,7398	23,5993	0,9085	0,8558	0,2226	0,6916	0,9030	1,0742	
2AENp6_150	09.01.2020 13:26:52	44746587,50	11,99	1,33	65	79	7	3	804 PPM	288 PPM	82	1	2	6	1	0	0	58,4001	0,4294	2,9332	1,8993	1,1245	32,1127	5,2902	0,2403	0,8474	3,4118	0,3275	0,3931	0,2222	0,7371	0,9070	1,1332	
2AENp6_151	09.01.2020 13:39:10	45555893,75	12,00	1,33	35	77	7	3	633 PPM	228 PPM	67	1	3	6	2	0	0	59,3842	0,4300	2,9220	1,0214	1,0925	28,4344	4,4458	0,1890	0,6718	2,7675	0,3451	0,5069	0,2285	0,8542	0,9197	1,1026	
2AENp6_152	09.01.2020 13:51:27	44933787,50	11,78	1,32	83	109	7	3	628 PPM	377 PPM	149	1	3	6	2	0	0	58,6277	0,4219	2,9049	2,4367	1,5597	28,9831	4,5289	0,1878	1,1079	6,2193	0,4483	0,5925	0,2318	0,8750	0,9130	1,1577	
2AENp6_153	09.01.2020 14:03:45	45731406,25	11,92	1,31	52	84	8	2	598 PPM	244 PPM	94	1	3	6	2	0	0	59,5976	0,4271	2,8956	1,5165	1,2014	32,5213	3,9153	0,1786	0,7170	3,9277	0,3522	0,5540	0,2219	0,8078	0,9595	1,1028	
2AENp6_184	10.01.2020 13:52:59	39230331,25	13,02	1,63	115	225	8	9	0,34 %	858 PPM	91	2	8	6	6	0	0	51,6926	0,4663	3,5880	3,3710	3,2181	33,3913	14,3191	1,0083	2,5240	3,8019	0,6895	1,3475	0,2290	3,2809	0,9670	1,1575	
2AENp6_185	10.01.2020 14:05:20	36871090,63	12,29	1,63	47	255	8	10	0,32 %	803 PPM	206	2	30	7	6	0	0	48,8239	0,4401	3,6001	1,3611	3,6343	33,2435	16,4132	0,9449	2,3622	8,5595	0,6751	5,2566	0,2375	3,3466	0,9518	1,1396	
2AENp6_186	10.01.2020 14:17:40	38009140,63	12,78	1,66	47	269	8	11	0,35 %	837 PPM	110	2	21	7	8	0	0	50,2077	0,4577	3,6539	1,3634	3,8336	33,3649	17,6128	1,0534	2,4622	4,5806	0,7386	3,5799	0,2380	4,0126	0,9363	1,1209	
2AENp6_187	10.01.2020 13:15:58	43911250,00	14,09	1,39	45	95	7	2	0,34 %	628 PPM	41	1	2	6	2	0	0	57,3844	0,5047	3,0562	1,3097	1,3620	30,9155	3,3170	1,0015	1,8481	1,6984	0,3653	0,4203	0,2046	0,8730	0,9125	1,1204	
2AENp6_188	10.01.2020 13:28:18	43972925,00	13,87	1,39	31	88	7	2	0,32 %	604 PPM	35	1	2	6	2	0	0	57,4594	0,4970	3,0575	0,8991	1,2522	31,8736	3,3038	0,9635	1,7754	1,4483	0,3565	0,4020	0,2061	0,8875	0,9033	1,1135	
2AENp6_189	10.01.2020 13:40:37	43841918,75	14,18	1,39	32	95	7	2	0,33 %	617 PPM	31	1	2	5	2	0	0	57,3001	0,5079	3,0596	0,9437	1,3496	32,4275	3,4337	0,9899	1,8144	1,2886	0,3851	0,3954	0,1982	0,8594	0,8958	1,0961	
2AENp6_190	10.01.2020 14:30:22	45138575,00	13,04	1,33	28	64	7	1	0,16 %	391 PPM	32	1	2	5	2	0	0	58,8767	0,4673	2,9331	0,8210	0,9188	32,3503	1,8697	0,4760	1,1513	1,3432	0,2415	0,3203	0,1975	0,7868	0,9212	1,1059	
2AENp6_191	10.01.2020 14:42:42	44408515,63	12,70	1,32	70	93	8	1	0,15 %	516 PPM	79	1	2	5	1	0	0	57,9890	0,4551	2,9082	2,0346	1,3238	33,2859	1,8123	0,4354	1,5175	3,2940	0,2854	0,4103	0,1951	0,7473	0,9440	1,1202	
2AENp6_192	10.01.2020 14:55:01	44984000,00	12,98	1,34	31	66	8	1	0,16 %	391 PPM	35	1	2	6	2	0	0	58,6888	0,4651	2,9502	0,9022	0,9475	32,5414	1,8442	0,4697	1,1490	1,4751	0,2610	0,3147	0,2051	0,8385	0,9506	1,1210	
2AENp6_193	10.01.2020 15:07:23	43544893,75	12,34	1,44	36	98	8	6	950 PPM	424 PPM	35	2	2	6	3	0	0	56,9389	0,4419	3,1751	1,0573	1,3964	34,3924	9,0941	0,2839	1,2480	1,4532	0,5686	0,3502	0,2067	1,4648	0,8853	1,1163	
2AENp6_194	10.01.2020 15:19:38	43564265,63	12,39	1,43	32	95	9	5	939 PPM	400 PPM	30	2	2	5	3	0	0	56,9624	0,4437	3,1434	0,9338	1,3603	37,3371	8,7192	0,2806	1,1753	1,2339	0,5392	0,3326	0,1977	1,4258	0,8848	1,1063	
2AENp6_195	10.01.2020 15:31:57	43233853,13	12,48	1,44	41	97	7	6	985 PPM	428 PPM	44	2	2	6	3	0	0	56,5607	0,4472	3,1655	1,1920	1,3861	30,6730	9,2854	0,2943	1,2582	1,8272	0,5850	0,3727	0,2095	1,5099	0,9148	1,1038	
2AENp6_199	10.01.2020 12:38:59	37137643,75	14,50	1,74	91	371	8	13	0,56 %	0,12 %	106	5	10	7	9	1	0	49,1480	0,5196	3,8254	2,6597	5,2963	36,7282	21,6412	1,6659	3,5622	4,4201	1,7044	1,7594	0,2489	4,4983	1,1808	1,1764	
2AENp6_200	10.01.2020 12:51:19	34312840,63	13,71	1,72	348	498	8	13	0,53 %	0,15 %	321	6	12	7	9	0	0	45,7131	0,4911	3,7958	10,1864	7,1022	35,9368	21,6242	1,5952	4,4303	13,3487	2,0553	2,1013	0,2543	4,4588	1,0301	1,1321	
2AENp6_201	10.01.2020 13:03:39	34873768,75	13,65	1,73	270	465	9	13	0,55 %	0,14 %	249	6	11	7	8	0	0	46,3952	0,4891	3,8036	7,9052	6,6325	37,4673	21,2751	1,6480	4,2148	10,3397	1,9824	1,8325	0,2406	4,3373	1,0668	1,1124	
2AENp6mq_208	13.01.2020 10:45:36	46983312,50	11,80	1,26	6	22	7	0	341 PPM	87 PPM	17	0	1	6	1	0	0	61,1198	0,4229	2,7857	0,1668	0,3085	32,0733	0,2583	0,1018	0,2570	0,7152	0,1421	0,1492	0,2006	0,5567	0,9332	1,1281	
2AENp6mq_209	13.01.2020 10:57:51	47079090,63	12,08	1,26	5	23	8	0	353 PPM	89 PPM	15	0	1	5	1	0	0	61,2363	0,4328	2,7806	0,1594	0,3230	33,4033	0,2856	0,1054	0,2618	0,6139	0,1348	0,1319	0,1927	0,5230	0,8786	1,1400	
2AENp6mq_210	13.01.2020 11:10:07	46891143,75	12,10	1,26	5	22	8	0	333 PPM	91 PPM	17	0	1	5	1	0	0	61,0078	0,4336	2,7724	0,1557	0,3140	33,7000	0,3132	0,0996	0,2673	0,7007	0,1374	0,1442	0,1959	0,5217	0,9128	1,1215	
2AENp7_157	09.01.2020 14:28:17	46978065,63	12,02	1,26	7	24	7	0	333 PPM	88 PPM	18	0	1	5	1	0	0	61,1135	0,4307	2,7697	0,2021	0,3356	31,2298	0,2909	0,0996	0,2583	0,7462	0,1279	0,1543	0,1987	0,5156	0,8657	1,1201	
2AENp7_157	09.01.2020 14:16:01	46884665,63	12,14	1,27	5	23	8	0	335 PPM	80 PPM	13	0	1	5	1	0	0	60,9999	0,4348	2,7990	0,1388	0,3342	34,3256	0,3063	0,1000	0,2366	0,5606	0,1247	0,1247	0,1896	0,5319	0,8869	1,0859	
2AENp7_158	09.01.2020 16:43:46	47202212,50	12,20	1,25	7	24	7	0	339 PPM	90 PPM	18	0	1	5	1	0	0	61,3860	0,4370	2,7489	0,1985	0,3371	31,3480	0,2983	0,1012	0,2646	0,7481	0,1301	0,1449	0,1978	0,5123	0,8661	1,1126	
2AENp7_159	09.01.2020 14:40:34	47113003,13	11,92	1,26	4	21	7	0	345 PPM	81 PPM	13	0	1	5	1	0	0	61,2775	0,4271	2,7652	0,1222	0,3047	30,4983	0,3195	0,1032	0,2379	0,5470	0,1334	0,1374	0,1927	0,5196	0,9240	1,0986	
2AENp7_160	09.01.2020 14:52:51	45396525,00	12,16	1,32	48	79	8	2	517 PPM	227 PPM	73	1	3	7	2	0	0	59,1904	0,4357	2,9137	1,4053	1,1274	34,0670	3,2808	0,1545	0,6676	3,0556	0,3792	0,4891	0,2606	1,1023	0,8288	1,0852	
2AENp7_161	09.01.2020 15:05:14	44777140,63	12,02	1,32	26	85	8	2	504 PPM	172 PPM	135	1	14	7	2	0	0	58,4372	0,4307	2,9128	0,7551	1,2161	32,8990	3,5002	0,1504	0,5055	5,6074	0,4311	2,4547	0,2727	1,0612	0,8909	1,1217	
2AENp7_162	09.01.2020 15:17:33	45632187,50	12,14	1,32	27	68	8	2	508 PPM	195 PPM	51	1	3	7	2	0	0	59,4769	0,4350	2,9060	0,8003	0,9730	33,8898	3,1448	0,1517	0,5729	2,1246	0,3544	0,5728	0,2645	0,9914	0,8811	1,1086	
2AENp7_163	09.01.2020 15:29:51	44915409,38	11,73	1,30	163	148	7	1	464 PPM	511 PPM	329	2	7	6	2	0	0	58,6054	0,4202	2,8687	4,7827	2,1071	32,1753	1,8726	0,1385	1,5041	13,6867	0,5390	1,2124	0,2185	0,8580	1,0368	1,1415	
2AENp7_164	09.01.2020 15:42:11	44772928,13	11,72	1,30	144	139	7	1	461 PPM	491 PPM	309	2	8	6	2	0	0	58,4321	0,4200	2,8686	4,2109	1,9857	31,7661	2,1499	0,1378	1,4444	12,8707	0,5328	1,4379	0,2185	0,8767	0,9505	1,0999	
2AENp7_165	09.01.2020 15:54:30	45348765,63	11,86	1,29	24	68	8	1	432 PPM	153 PPM	130	1	14	6	2	0	0	59,1323	0,4250	2,8409	0,6878	0,9693	35,2866	1,7499	0,1292	0,4497	5,3935	0,2556	2,3921	0,2105	0,8058	0,8766	1,1156	
2AENp7_166	09.01.2020 16:06:48	44791031,25	11,70	1,28	149	129	8	1	433 PPM	389 PPM	225	1	5	6	2	0	0	58,4541	0,4192	2,8285	4,3578	1,8428	35,3144	1,8590	0,1294	1,1440	9,3436	0,4354	0,7952	0,2049	0,8575	0,8828	1,1274	
2AENp7_167	09.01.2020 16:19:07	44701290,63	11,75	1,29	155	147	7	1	454 PPM	448 PPM	267	2	8	6	3	0	0	58,3450	0,4208	2,8466	4,5324	2,0951	31,3455	1,9986	0,1357	1,3164	11,1135	0,5150	1,4005	0,2207	1,3505	0,8553	1,0678	
2AENp7_168	09.01.2020 16:31:28	44911859,38	11,91	1,28	138	136	7	1	453 PPM	423 PPM	282	1	10	6	2	0	0	58,6011	0,4265	2,8243	4,0331	1,9474	31,5208	1,7791	0,1352	1,2450	11,7185	0,4665	1,7945	0,2104	0,8070	0,9012	1,1050	
